"","Nome","Partido","UF","Telefone","E-mail","parlamentar","Telefones"
"243","Alessandro Vieira","CIDADANIA","SE",NA,"sen.alessandrovieira@senado.leg.br","Senador/a","(61) 3303-9011"
"244","Alvaro Dias","PODEMOS","PR",NA,"sen.alvarodias@senado.leg.br","Senador/a","(61) 3303-4059"
"245","Angelo Coronel","PSD","BA",NA,"sen.angelocoronel@senado.leg.br","Senador/a","(61) 3303-6103"
"246","Antonio Anastasia","PSD","MG",NA,"sen.antonioanastasia@senado.leg.br","Senador/a","(61) 3303-5717"
"247","Carlos Viana","PSD","MG",NA,"sen.carlosviana@senado.leg.br","Senador/a","(61) 3303-3100"
"248","Chico Rodrigues","DEM","RR",NA,"sen.chicorodrigues@senado.leg.br","Senador/a","(61) 3303-2281"
"249","Ciro Nogueira","PP","PI",NA,"sen.cironogueira@senado.leg.br","Senador/a","(61) 3303-6187"
"250","Dário Berger","MDB","SC",NA,"sen.darioberger@senado.leg.br","Senador/a","(61) 3303-5947"
"251","Eduardo Gomes","MDB","TO",NA,"sen.eduardogomes@senado.leg.br","Senador/a","(61) 3303-6349"
"252","Esperidião Amin","PP","SC",NA,"sen.esperidiaoamin@senado.leg.br","Senador/a","(61) 3303-6446"
"253","Fernando Bezerra Coelho","MDB","PE",NA,"sen.fernandobezerracoelho@senado.leg.br","Senador/a","(61) 3303-2182"
"254","Flávio Arns","REDE","PR",NA,"sen.flavioarns@senado.leg.br","Senador/a","(61) 3303-6301"
"255","Irajá Abreu","PSD","TO",NA,"sen.iraja@senado.leg.br","Senador/a","(61) 3303-6469"
"256","Izalci Lucas","PSDB","DF",NA,"sen.izalcilucas@senado.leg.br","Senador/a","(61) 3303-6049"
"257","Jayme Campos","DEM","MT",NA,"sen.jaymecampos@senado.leg.br","Senador/a","(61) 3303-2390"
"258","Jorge Kajuru","CIDADANIA","GO",NA,"sen.jorgekajuru@senado.leg.br","Senador/a","(61) 3303-2844"
"259","Jorginho Mello","PL","SC",NA,"sen.jorginhomello@senado.leg.br","Senador/a","(61) 3303-2200"
"260","Kátia Abreu","PP","TO",NA,"sen.katiaabreu@senado.leg.br","Senador/a","(61) 3303-2464"
"261","Lasier Martins","PODEMOS","RS",NA,"sen.lasiermartins@senado.leg.br","Senador/a","(61) 3303-2323"
"262","Luis Carlos Heinze","PP","RS",NA,"sen.luiscarlosheinze@senado.leg.br","Senador/a","(61) 3303-4124"
"263","Luiz Carlos do Carmo","MDB","GO",NA,"sen.luizcarlosdocarmo@senado.leg.br","Senador/a","(61) 3303-6439"
"264","Mailza Gomes","PP","AC",NA,"sen.mailzagomes@senado.leg.br","Senador/a","(61) 3303-1357"
"265","Marcelo Castro","MDB","PI",NA,"sen.marcelocastro@senado.leg.br","Senador/a","(61) 3303-6130"
"266","Marcio Bittar","MDB","AC",NA,"sen.marciobittar@senado.leg.br","Senador/a","(61) 3303-2115"
"267","Marcos Rogério","DEM","RO",NA,"sen.marcosrogerio@senado.leg.br","Senador/a","(61) 3303-6148"
"268","Mecias de Jesus","REPUBLICANOS","RR",NA,"sen.meciasdejesus@senado.leg.br","Senador/a","(61) 3303-5291"
"269","Nelsinho Trad","PSD","MS",NA,"sen.nelsinhotrad@senado.leg.br","Senador/a","(61) 3303-6767"
"270","Oriovisto Guimarães","PODEMOS","PR",NA,"sen.oriovistoguimaraes@senado.leg.br","Senador/a","(61) 3303-1635"
"271","Rodrigo Pacheco","DEM","MG",NA,"sen.rodrigopacheco@senado.leg.br","Senador/a","(61) 3303-2794"
"272","Rose de Freitas","PODEMOS","ES",NA,"rose.freitas@senadora.leg.br;","Senador/a","(61) 3303-1156"
"273","Sérgio Petecão","PSD","AC",NA,"sen.sergiopetecao@senado.leg.br","Senador/a","(61) 3303-6708"
"274","Soraya Thronicke","PSL","MS",NA,"sen.sorayathronicke@senado.leg.br","Senador/a","(61) 3303-1775"
"275","Styvenson Valentim","PODEMOS","RN",NA,"sen.styvensonvalentim@senado.leg.br","Senador/a","(61) 3303-1148"
"276","Vanderlan Cardoso","PSD","GO",NA,"sen.vanderlancardoso@senado.leg.br","Senador/a","(61) 3303-2092"
"277","Veneziano Vital do Rêgo","PSB","PB",NA,"sen.venezianovitaldorego@senado.leg.br","Senador/a","(61) 3303-2252"
"278","Wellington Fagundes","PL","MT",NA,"sen.wellingtonfagundes@senado.leg.br","Senador/a","(61) 3303-6219"
"279","Weverton","PDT","MA",NA,"sen.wevertonrocha@senado.leg.br","Senador/a","(61) 3303-4161"
"280","Zequinha Marinho","PSC","PA",NA,"sen.zequinhamarinho@senado.leg.br","Senador/a","(61) 3303-6623"
